Id,Position,FirstName,Nickname,LastName,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17288-7872,QB,Brian,,Hoyer,13.26666641,6,6000,GB@CHI,CHI,GB,IR,Forearm
17288-27405,QB,Landry,,Jones,2.306666692,6,6000,PIT@CIN,PIT,CIN,,
17288-7970,QB,Charlie,,Whitehurst,10.38000011,1,6000,CLE@BUF,CLE,BUF,,
17288-39716,WR,Adam,,Thielen,9.300000117,13,6000,IND@MIN,MIN,IND,,
17288-25410,QB,Mike,,Glennon,9,1,6000,TB@DAL,TB,DAL,,
17288-28515,QB,Cardale,,Jones,0,0,6000,CLE@BUF,BUF,CLE,,
17288-14194,QB,Blaine,,Gabbert,13.19999949,6,6000,SF@ATL,SF,ATL,,
17288-29587,QB,Cody,,Kessler,9.819999695,8,6000,CLE@BUF,CLE,BUF,,
17288-14267,QB,Ryan,,Mallett,-0.013333333,3,6000,PHI@BAL,BAL,PHI,,
17288-29780,TE,Zach,,Ertz,8.809091048,11,5900,PHI@BAL,PHI,BAL,,
17288-31047,QB,AJ,,McCarron,8.17999976,7,5900,PIT@CIN,CIN,PIT,,
17288-44449,WR,Willie,,Snead,10.92500051,12,5900,NO@ARI,NO,ARI,,
17288-6607,WR,Mike,,Wallace,11.5692303,13,5900,PHI@BAL,BAL,PHI,,
17288-6840,RB,Frank,,Gore,12.78461515,13,5900,IND@MIN,IND,MIN,,
17288-54753,WR,Taylor,,Gabriel,10.6,10,5800,SF@ATL,ATL,SF,,
17288-22163,WR,Rishard,,Matthews,10.46153846,13,5800,TEN@KC,TEN,KC,,
17288-25272,TE,Eric,,Ebron,8.569999695,10,5800,DET@NYG,DET,NYG,Q,Knee
17288-14237,TE,Kyle,,Rudolph,9.407692542,13,5800,IND@MIN,MIN,IND,,
17288-14257,WR,Randall,,Cobb,9.858333588,12,5800,GB@CHI,GB,CHI,Q,Ankle
17288-30837,WR,Jordan,,Matthews,10.58333333,12,5700,PHI@BAL,PHI,BAL,Q,Ankle
17288-54607,RB,Terrance,,West,9.792307927,13,5700,PHI@BAL,BAL,PHI,,
17288-54782,TE,Cameron,,Brate,9.153846154,13,5700,TB@DAL,TB,DAL,,
17288-8052,RB,Rashad,,Jennings,9.780000305,10,5700,DET@NYG,NYG,DET,,
17288-29593,WR,Marqise,,Lee,8.71538485,13,5700,JAC@HOU,JAC,HOU,,
17288-11495,WR,Brandon,,LaFell,8.399999765,13,5600,PIT@CIN,CIN,PIT,,
17288-54608,RB,Jerick,,McKinnon,6.650000254,12,5600,IND@MIN,MIN,IND,,
17288-22047,TE,Ladarius,,Green,7.140000153,5,5600,PIT@CIN,PIT,CIN,,
17288-22103,WR,Marvin,,Jones Jr.,10.58333333,12,5600,DET@NYG,DET,NYG,,
17288-28677,QB,Matt,,McGloin,0,1,5500,OAK@SD,OAK,SD,,
17288-7283,WR,Jeremy,,Maclin,7.39999983,9,5500,TEN@KC,KC,TEN,,
17288-6448,TE,Martellus,,Bennett,8.953846271,13,5500,NE@DEN,NE,DEN,Q,Ankle
17288-14645,WR,Dontrelle,,Inman,8.592307458,13,5500,OAK@SD,SD,OAK,,
17288-22848,QB,Austin,,Davis,7.393333435,3,5500,NE@DEN,DEN,NE,,
17288-54684,RB,Isaiah,,Crowell,11.24615361,13,5500,CLE@BUF,CLE,BUF,,
17288-14757,RB,Matt,,Asiata,7.699999883,13,5500,IND@MIN,MIN,IND,Q,Ankle
17288-7844,QB,Chad,,Henne,-0.200000003,1,5500,JAC@HOU,JAC,HOU,,
17288-33465,RB,Theo,,Riddick,13.53000031,10,5500,DET@NYG,DET,NYG,D,Wrist
17288-40669,WR,Tyler,,Boyd,6.530769348,13,5500,PIT@CIN,CIN,PIT,,
17288-62538,WR,Cameron,,Meredith,8.672727411,11,5400,GB@CHI,CHI,GB,,
17288-31061,RB,T.J.,,Yeldon,7.961538462,13,5400,JAC@HOU,JAC,HOU,,
17288-14704,WR,Chris,,Hogan,8.349999746,12,5400,NE@DEN,NE,DEN,,
17288-32243,WR,Marquise,,Goodwin,6.036363775,11,5400,CLE@BUF,BUF,CLE,,
17288-6828,RB,Tim,,Hightower,6.469230652,13,5400,NO@ARI,NO,ARI,,
17288-6857,RB,Justin,,Forsett,4.700000127,6,5400,NE@DEN,DEN,NE,,
17288-7972,RB,Darren,,Sproles,9.084615267,13,5400,PHI@BAL,PHI,BAL,O,Concussion
17288-22004,TE,Dwayne,,Allen,7.163636641,11,5300,IND@MIN,IND,MIN,Q,Hip
17288-22018,WR,Mohamed,,Sanu,7.924999873,12,5300,SF@ATL,ATL,SF,,
17288-11864,RB,Chris,,Ivory,6.966666751,9,5300,JAC@HOU,JAC,HOU,,
17288-38509,RB,Wendell,,Smallwood,4.14166673,12,5300,PHI@BAL,PHI,BAL,IR,Knee
17288-7965,TE,Antonio,,Gates,8.630000305,10,5300,OAK@SD,SD,OAK,,
17288-27477,WR,Sterling,,Shepard,9.023077158,13,5300,DET@NYG,NYG,DET,,
17288-6479,WR,Anquan,,Boldin,9.046153729,13,5200,DET@NYG,DET,NYG,,
17288-11609,RB,James,,Starks,5.488889058,9,5200,GB@CHI,GB,CHI,O,Concussion
17288-30108,WR,Marquess,,Wilson,8.833333333,3,5200,GB@CHI,CHI,GB,IR,Foot
17288-34295,WR,Breshad,,Perriman,5.974999746,12,5200,PHI@BAL,BAL,PHI,,
17288-23045,K,Justin,,Tucker,11.07692308,13,5200,PHI@BAL,BAL,PHI,,
17288-39580,RB,Devontae,,Booker,6.99230781,13,5200,NE@DEN,DEN,NE,,
17288-14198,QB,Christian,,Ponder,0,0,5200,SF@ATL,SF,ATL,,
17288-40845,TE,Hunter,,Henry,8.027273005,11,5200,OAK@SD,SD,OAK,,
17288-31732,WR,Corey,,Coleman,9,7,5200,CLE@BUF,CLE,BUF,,
17288-14339,RB,Dion,,Lewis,5.599999905,4,5100,NE@DEN,NE,DEN,,
17288-42028,WR,Will,,Fuller V,8.136363636,11,5100,JAC@HOU,HOU,JAC,,
17288-30775,WR,Justin,,Hunter,5.557143075,7,5100,CLE@BUF,BUF,CLE,,
17288-12526,D,Buffalo,,Bills,7.230769231,13,5100,CLE@BUF,BUF,CLE,,
17288-43413,RB,Kenneth,,Dixon,6.411111196,9,5100,PHI@BAL,BAL,PHI,,
17288-10647,K,Matt,,Bryant,10.53846154,13,5100,SF@ATL,ATL,SF,,
17288-21971,TE,Coby,,Fleener,7.769230769,13,5100,NO@ARI,NO,ARI,,
17288-29685,WR,Robert,,Woods,8.030000305,10,5100,CLE@BUF,BUF,CLE,,
17288-29734,RB,Ty,,Montgomery,6.299999873,12,5000,GB@CHI,GB,CHI,,
17288-30788,QB,Tyler,,Bray,0,0,5000,TEN@KC,KC,TEN,,
17288-53331,QB,Taylor,,Heinicke,0,0,5000,IND@MIN,MIN,IND,,
17288-11425,RB,Ryan,,Mathews,9.963636225,11,5000,PHI@BAL,PHI,BAL,,
17288-29915,QB,Brett,,Hundley,-0.173333327,3,5000,GB@CHI,GB,CHI,,
17288-27908,TE,C.J.,,Fiedorowicz,7.115384615,13,5000,JAC@HOU,HOU,JAC,O,Concussion
17288-12556,D,Houston,,Texans,5.615384615,13,5000,JAC@HOU,HOU,JAC,,
17288-27982,QB,Jake,,Rudock,0,0,5000,DET@NYG,DET,NYG,,
17288-34154,WR,J.J.,,Nelson,7.236363498,11,5000,NO@ARI,ARI,NO,,
17288-25969,QB,Tom,,Savage,0,0,5000,JAC@HOU,HOU,JAC,,
17288-24949,QB,EJ,,Manuel,1.699999968,3,5000,CLE@BUF,BUF,CLE,,
17288-47523,WR,Tajae,,Sharpe,5.884615385,13,5000,TEN@KC,TEN,KC,,
17288-54705,QB,Dustin,,Vaughan,0,0,5000,PIT@CIN,PIT,CIN,,
17288-31170,QB,Brandon,,Allen,0,0,5000,JAC@HOU,JAC,HOU,,
17288-44500,QB,Keith,,Wenning,0,0,5000,PIT@CIN,CIN,PIT,,
17288-70127,QB,Griffin,,Neal,0,0,5000,NO@ARI,NO,ARI,,
17288-6641,TE,Jason,,Witten,7.530769348,13,5000,TB@DAL,DAL,TB,,
17288-28163,QB,Connor,,Cook,0,0,5000,OAK@SD,OAK,SD,,
17288-26141,QB,Ryan,,Nassib,6.71999979,1,5000,DET@NYG,NYG,DET,,
17288-30237,RB,Mike,,Gillislee,7.575000127,12,5000,CLE@BUF,BUF,CLE,,
17288-6687,QB,Mark,,Sanchez,0.119999997,1,5000,TB@DAL,DAL,TB,,
17288-23075,QB,Alex,,Tanney,7.960000038,1,5000,TEN@KC,TEN,KC,,
17288-30253,QB,Jeff,,Driskel,0,0,5000,PIT@CIN,CIN,PIT,,
17288-8803,QB,Chase,,Daniel,-0.02,2,5000,PHI@BAL,PHI,BAL,,
17288-14952,K,Dan,,Bailey,8.538461538,13,5000,TB@DAL,DAL,TB,,
17288-32366,QB,Jameill,,Showers,0,0,5000,TB@DAL,DAL,TB,,
17288-34459,QB,B.J.,,Daniels,0.920000017,4,5000,GB@CHI,CHI,GB,,
17288-31406,RB,Alfred,,Blue,2.954545455,11,5000,JAC@HOU,HOU,JAC,,
17288-31421,QB,Zach,,Mettenberger,7.028571538,7,5000,PIT@CIN,PIT,CIN,,
17288-45797,QB,Garrett,,Grayson,0,1,5000,NO@ARI,NO,ARI,,
17288-7919,QB,Kellen,,Clemens,-0.100000001,1,5000,OAK@SD,SD,OAK,,
17288-26355,QB,Logan,,Thomas,0,0,5000,CLE@BUF,BUF,CLE,,
17288-70446,QB,Joe,,Callahan,0,0,5000,GB@CHI,GB,CHI,,
17288-70464,QB,Josh,,Woodrum,0,0,5000,GB@CHI,CHI,GB,,
17288-8023,QB,Josh,,Johnson,0,0,5000,DET@NYG,NYG,DET,,
17288-8051,QB,Luke,,McCown,6.199999809,2,5000,NO@ARI,NO,ARI,,
17288-8071,QB,Dan,,Orlovsky,5.519999981,2,5000,DET@NYG,DET,NYG,,
17288-33702,QB,Ryan,,Griffin,0,0,5000,TB@DAL,TB,DAL,,
